imo,vessel_name,gross_tonnage,type,year_built,flag
9343687,A FUKU,9610,Container Ship,2007,Panama (PAN)
9354662,A. IDEFIX,18263,Container Ship,2008,Malta (MLT)
9343699,A KOU,9610,Container Ship,2007,Panama (PAN)
9386524,A LA MARINE,16023,Container Ship,2009,Belgium (BEL)
9354674,A. OBELIX,18199,Container Ship,2008,Malta (MLT)
9303807,ABIDJAN EXPRESS,28592,Container Ship,2006,Malta (MLT)
9379636,ABTIN 1,9957,Container Ship,2008,Iran (IRN)
9349667,ABYAN,75395,Container Ship,2008,Iran (IRN)
9338307,ACACIA LIBRA,9954,Container Ship,2007,"Hong Kong, China (HKG)"
9505522,ACACIA MING,7170,Container Ship,2010,Panama (PAN)
9401697,ACACIA REI,18326,Container Ship,2010,Singapore (SGP)
9338292,ACACIA VIRGO,9954,Container Ship,2007,Panama (PAN)
9400590,ACACIA WA,7170,Container Ship,2006,Panama (PAN)
9433066,ACRUX N,18326,Container Ship,2010,Cyprus (CYP)
9395525,ACTUARIA,75752,Container Ship,2009,Portugal (MAR) (PMD)
9360611,ACX CRYSTAL,29060,Container Ship,2008,Philippines (PHL)
9360609,ACX DIAMOND,29060,Container Ship,2008,Singapore (SGP)
9360623,ACX PEARL,29060,Container Ship,2008,Liberia (LBR)
9303766,ADELHEID-S.,35581,Container Ship,2006,Antigua and Barbuda (ATG)
9306079,ADELINA D,15487,Container Ship,2006,Portugal (MAR) (PMD)
9365843,ADMIRAL GALAXY,21092,Container Ship,2008,Liberia (LBR)
9398242,ADRIAN SCHULTE,75582,Container Ship,2009,Malta (MLT)
9359105,AFRICA SUN,9956,Container Ship,2006,Djibouti (DJI)
9315381,AGAMEMNON,89776,Container Ship,2007,Liberia (LBR)
9354337,AILA,9131,Container Ship,2007,Finland (FIN)
9492878,AKASHIA,2979,Container Ship,2007,Indonesia (IDN)
9349514,AL BAHIA,75579,Container Ship,2008,Liberia (LBR)
9415997,AL BIDDA,9955,Container Ship,2009,Qatar (QAT)
9349552,AL HILAL,75579,Container Ship,2008,Liberia (LBR)
9349502,AL KHARJ,75579,Container Ship,2008,Liberia (LBR)
9349538,AL MANAMAH,75579,Container Ship,2008,Liberia (LBR)
9349564,AL RAWDAH,75579,Container Ship,2008,Marshall Islands (MHL)
9300984,AL REEM I,32968,Container Ship,2006,United Arab Emirates (ARE)
9416006,AL RUMEILA,9955,Container Ship,2009,Qatar (QAT)
9349497,AL SAFAT,75579,Container Ship,2008,Liberia (LBR)
9471226,ALABAMA,40542,Container Ship,2010,Marshall Islands (MHL)
9301990,ALDEBARAN,32903,Container Ship,2008,Malta (MLT)
9349186,ALDEBARAN J,8273,Container Ship,2006,Antigua and Barbuda (ATG)
9341122,ALDI WAVE,28616,Container Ship,2008,Cyprus (CYP)
9328649,ALEXANDER B,14072,Container Ship,2006,Antigua and Barbuda (ATG)
