imo,vessel_name,gross_tonnage,type,year_build,flag
9539092,ADELINE,21020,Ro-Ro Cargo Ship,2012,Malta (MLT)
9446881,ADRIA ACE,41009,Vehicles Carrier,2009,Bahamas (BHS)
9442885,ADRIATIC HIGHWAY,58990,Vehicles Carrier,2008,Japan (JPN)
9215488,ADRIYATIK,26469,Ro-Ro Cargo Ship,2001,Panama (PAN)
9464388,AEGEAN HIGHWAY,58989,Vehicles Carrier,2008,Japan (JPN)
9297826,AGDAM,8547,Ro-Ro Cargo Ship,2006,Azerbaijan (AZE)
9297838,AKADEMIK ZARIFA ALIYEVA,8547,Ro-Ro Cargo Ship,2006,Azerbaijan (AZE)
9266487,AL HURREYA,13529,Ro-Ro Cargo Ship,2005,Egypt (EGY)
9309136,AL HURREYA 2,13529,Ro-Ro Cargo Ship,2007,Egypt (EGY)
9500390,AL HURREYA 3,16804,Ro-Ro Cargo Ship,2020,Egypt (EGY)
9848467,ALF POLLAK,32936,Ro-Ro Cargo Ship,2018,Italy (ITA)
9303546,ALLIANCE FAIRFAX,59705,Vehicles Carrier,2005,United States of America (USA)
9332547,ALLIANCE NORFOLK,57280,Vehicles Carrier,2007,United States of America (USA)
9285500,ALLIANCE ST. LOUIS,57280,Vehicles Carrier,2005,United States of America (USA)
9539171,ALTAIR LEADER,60394,Vehicles Carrier,2011,Japan (JPN)
9424871,AMANDINE,33690,Ro-Ro Cargo Ship,2011,Malta (MLT)
9277826,AMBER ARROW,57718,Vehicles Carrier,2004,Bahamas (BHS)
9205976,AMERICAN HIGHWAY,49212,Vehicles Carrier,2000,Panama (PAN)
9397999,AMETHYST ACE,60143,Vehicles Carrier,2008,Cayman Islands (CYM)
9207998,AMILCAR,22900,Ro-Ro Cargo Ship,2000,Tunisia (TUN)
9732905,AN JI 21,19986,Vehicles Carrier,2016,China Peoples's Republic (CHN)
9732917,AN JI 22,19986,Vehicles Carrier,2016,China Peoples's Republic (CHN)
9776858,AN JI 23,35477,Vehicles Carrier,2017,China Peoples's Republic (CHN)
9776860,AN JI 24,35482,Vehicles Carrier,2017,China Peoples's Republic (CHN)
9851529,AN JI 27,19890,Vehicles Carrier,2019,China Peoples's Republic (CHN)
9605695,AN JI 8,19568,Vehicles Carrier,2011,China Peoples's Republic (CHN)
9626704,AN JI 9,19349,Vehicles Carrier,2011,China Peoples's Republic (CHN)
9273909,ANDROMEDA LEADER,62195,Vehicles Carrier,2004,Panama (PAN)
9372327,ANDROMEDA SPIRIT,43810,Vehicles Carrier,2007,Panama (PAN)
9377494,ANIARA,71673,Vehicles Carrier,2008,Sweden (SWE)
9539169,ANTARES LEADER,60284,Vehicles Carrier,2011,Panama (PAN)
9248540,ANVIL POINT,23235,Ro-Ro Cargo Ship,2003,United Kingdom (GBR)
9335953,APHRODITE LEADER,62568,Vehicles Carrier,2007,Japan (JPN)
9728083,APOLLON HIGHWAY,76299,Vehicles Carrier,2017,Panama (PAN)
9402706,APOLLON LEADER,60213,Vehicles Carrier,2008,Panama (PAN)
9397987,AQUAMARINE ACE,60143,Vehicles Carrier,2008,Cayman Islands (CYM)
9483786,ARABIAN SEA,46800,Vehicles Carrier,2010,Marshall Islands (MHL)
9332925,ARC INDEPENDENCE,72118,Vehicles Carrier,2007,United States of America (USA)
9332949,ARC INTEGRITY,72118,Vehicles Carrier,2008,United States of America (USA)
9316141,ARC RESOLVE,61260,Vehicles Carrier,2006,United States of America (USA)
9676864,ARIES LEADER,69931,Vehicles Carrier,2014,Panama (PAN)
9609964,ARK DANIA,33313,Ro-Ro Cargo Ship,2014,Denmark (DIS) (DIS)
9609952,ARK GERMANIA,33313,Ro-Ro Cargo Ship,2014,Denmark (DIS) (DIS)
9355202,ARTEMIS LEADER,62571,Vehicles Carrier,2008,Panama (PAN)
9293428,ARTEMIS SEAWAYS,29060,Ro-Ro Cargo Ship,2005,Turkey (TUR)
9700201,ASAKA,2988,Vehicles Carrier,2014,Japan (JPN)
9549401,ASIA PRIMA 4501,331,Ro-Ro Cargo Ship,2010,Indonesia (IDN)
9448061,ASIAN EXPLORER,43810,Vehicles Carrier,2009,Panama (PAN)
9322425,ASPENDOS SEAWAYS,29060,Ro-Ro Cargo Ship,2005,Turkey (TUR)
9293416,ASSOS SEAWAYS,29060,Ro-Ro Cargo Ship,2005,Turkey (TUR)
9531741,ASTERIA LEADER,63084,Vehicles Carrier,2010,Panama (PAN)
9182368,ASTRAL ACE,36897,Vehicles Carrier,2000,Japan (JPN)
9443073,ATHENS HIGHWAY,58994,Vehicles Carrier,2008,Japan (JPN)
9250232,ATLANTIC HIGHWAY,55493,Vehicles Carrier,2002,Panama (PAN)
9670585,ATLANTIC SAIL,100430,Container Ro-Ro Cargo Ship,2016,United Kingdom (GBR)
9670597,ATLANTIC SEA,100430,Container Ro-Ro Cargo Ship,2016,United Kingdom (GBR)
9670602,ATLANTIC SKY,100430,Container Ro-Ro Cargo Ship,2017,United Kingdom (GBR)
9670573,ATLANTIC STAR,100430,Container Ro-Ro Cargo Ship,2015,United Kingdom (GBR)
9670614,ATLANTIC SUN,100430,Container Ro-Ro Cargo Ship,2017,United Kingdom (GBR)
9531739,ATLAS LEADER,63085,Vehicles Carrier,2010,Japan (JPN)
9615391,ATSUTA MARU,16053,Vehicles Carrier,2012,Japan (JPN)
9402718,AURIGA LEADER,60213,Vehicles Carrier,2008,Panama (PAN)
9736365,AUTO ECO,42424,Vehicles Carrier,2016,Portugal (MAR) (PMD)
9736377,AUTO ENERGY,42424,Vehicles Carrier,2016,Portugal (MAR) (PMD)
9206774,AUTOSKY,21010,Vehicles Carrier,2000,Portugal (MAR) (PMD)
9206786,AUTOSTAR,21010,Vehicles Carrier,2000,Portugal (MAR) (PMD)
9227053,AUTOSUN,21094,Vehicles Carrier,2000,Portugal (MAR) (PMD)
9522403,AVANGARD,5484,Ro-Ro Cargo Ship,2009,Russia (RUS)
9542283,AZALEA ACE,43810,Vehicles Carrier,2011,Liberia (LBR)
9620944,BAHRI ABHA,50714,Ro-Ro Cargo Ship,2013,Saudi Arabia (SAU)
9620956,BAHRI HOFUF,50714,Ro-Ro Cargo Ship,2013,Saudi Arabia (SAU)
9620970,BAHRI JAZAN,50714,Ro-Ro Cargo Ship,2013,Saudi Arabia (SAU)
9626522,BAHRI JEDDAH,50714,Ro-Ro Cargo Ship,2014,Saudi Arabia (SAU)
9620968,BAHRI TABUK,50714,Ro-Ro Cargo Ship,2013,Saudi Arabia (SAU)
9626534,BAHRI YANBU,50714,Ro-Ro Cargo Ship,2014,Saudi Arabia (SAU)
9632363,BALAKEN,8045,Ro-Ro Cargo Ship,2012,Azerbaijan (AZE)
9386213,BALTIC ACE,23498,Vehicles Carrier,2007,Bahamas (BHS)
9243461,BALTIC HIGHWAY,42238,Vehicles Carrier,2001,Panama (PAN)
9267716,BALTICBORG,12635,Ro-Ro Cargo Ship,2004,Netherlands (NLD)
9510149,BALTIMORE HIGHWAY,48927,Vehicles Carrier,2009,Panama (PAN)
9832602,BANDANAIRA DOS,797,Ro-Ro Cargo Ship,2020,Philippines (PHL)
9506710,BANGKOK HIGHWAY,48936,Vehicles Carrier,2009,Japan (JPN)
9632351,BARDA,8045,Ro-Ro Cargo Ship,2012,Azerbaijan (AZE)
9262089,BEGONIA SEAWAYS,37939,Ro-Ro Cargo Ship,2004,Denmark (DIS) (DIS)
9188233,BELGIA SEAWAYS,21005,Ro-Ro Cargo Ship,2000,Lithuania (LTU)
9777802,BELUGA ACE,63115,Vehicles Carrier,2018,Panama (PAN)
9403281,BERGAMOT ACE,42401,Vehicles Carrier,2010,Cayman Islands (CYM)
9531715,BESS,58750,Vehicles Carrier,2010,Panama (PAN)
9411874,BFI 1,5786,Ro-Ro Cargo Ship,2009,Russia (RUS)
9461207,BHARATI 357,7695,Ro-Ro Cargo Ship,2021,Cyprus (CYP)
9409340,BISHU HIGHWAY,56978,Vehicles Carrier,2009,Japan (JPN)
9186649,BLUE CARRIER 1,13073,Ro-Ro Cargo Ship,2000,Greece (GRC)
9510151,BLUE RIDGE HIGHWAY,48927,Vehicles Carrier,2009,Panama (PAN)
9443554,BORE SEA,25586,Ro-Ro Cargo Ship,2011,Netherlands (NLD)
9443566,BORE SONG,25586,Ro-Ro Cargo Ship,2011,Netherlands (NLD)
9519107,BOSPORUS HIGHWAY,59440,Vehicles Carrier,2009,Panama (PAN)
