imo,vessel_name,gross_tonnage,type,year_build,flag
9354662,A. IDEFIX,18263,Container Ship,2008,Malta (MLT)
9386524,A LA MARINE,16023,Container Ship,2009,Belgium (BEL)
9354674,A. OBELIX,18199,Container Ship,2008,Malta (MLT)
9214898,A. P. MOLLER,92198,Container Ship,2000,Singapore (SGP)
9303807,ABIDJAN EXPRESS,28592,Container Ship,2006,Malta (MLT)
9379636,ABTIN 1,9957,Container Ship,2008,Iran (IRN)
9349667,ABYAN,75395,Container Ship,2008,Iran (IRN)
9244207,ACACIA HAWK,6191,Container Ship,2002,"Hong Kong, China (HKG)"
9338307,ACACIA LIBRA,9954,Container Ship,2007,"Hong Kong, China (HKG)"
9270828,ACACIA MAKOTO,21932,Container Ship,2004,Singapore (SGP)
9505522,ACACIA MING,7170,Container Ship,2010,Panama (PAN)
9401697,ACACIA REI,18326,Container Ship,2010,Singapore (SGP)
9338292,ACACIA VIRGO,9954,Container Ship,2007,Panama (PAN)
9433066,ACRUX N,18326,Container Ship,2010,Cyprus (CYP)
9395525,ACTUARIA,75752,Container Ship,2009,Portugal (MAR) (PMD)
9360611,ACX CRYSTAL,29060,Container Ship,2008,Philippines (PHL)
9360609,ACX DIAMOND,29060,Container Ship,2008,Singapore (SGP)
9360623,ACX PEARL,29060,Container Ship,2008,Liberia (LBR)
9303766,ADELHEID-S.,35581,Container Ship,2006,Antigua and Barbuda (ATG)
9306079,ADELINA D,15487,Container Ship,2006,Portugal (MAR) (PMD)
9318761,ADILIA I,9701,Container Ship,2004,Portugal (MAR) (PMD)
9365843,ADMIRAL GALAXY,21092,Container Ship,2008,Liberia (LBR)
9260457,ADRIAN MAERSK,93496,Container Ship,2004,Denmark (DIS) (DIS)
9398242,ADRIAN SCHULTE,75582,Container Ship,2009,Malta (MLT)
9245005,ADVANTAGE,66332,Container Ship,2001,St.Kitts and Nevis (KNA)
9260902,AEGIALI,66573,Container Ship,2002,Liberia (LBR)
9732345,AFIF,153148,Container Ship,2017,Marshall Islands (MHL)
9359105,AFRICA SUN,9956,Container Ship,2006,Djibouti (DJI)
9315381,AGAMEMNON,89776,Container Ship,2007,Liberia (LBR)
9349605,AGIOS DIMITRIOS,74175,Container Ship,2011,Liberia (LBR)
9221839,AGIOS MINAS,73059,Container Ship,2001,Liberia (LBR)
9400215,AGLAIA,42609,Container Ship,2011,Liberia (LBR)
9231169,AGUSTE SCHULTE,27093,Container Ship,2002,St.Kitts and Nevis (KNA)
